"Name","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","User_Score","Rating","log_JP_Sales","log_Other_Sales","sqrt_Critic_Count","log_User_Count","length_Name","length_Publisher","new_platform","yearI","yearII","is_important_genre","is_important_platform"
"Joust","1982","Platform","Atari",1.08,69,7.7,"Unknown",0,0.00995033085316809,4.12310562561766,3.13549421592915,1,1,"2600","0","0","1","1"
"Busou Shinki: Battle Masters Mk. 2","2011","Action","Konami Digital Entertainment",0.11,68,7.4,"Unknown",0.104360015324243,0,4.69041575982343,3.29583686600433,6,3,"PS","6","3","1","1"
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","2003","Action","THQ",0.11,68,7.4,"Unknown",0,0,4.69041575982343,3.29583686600433,9,1,"GC","4","2","1","0"
"Pro Yaky? Spirits 2010","2010","Sports","Konami Digital Entertainment",0.1,75,7.4,"Unknown",0.0953101798043249,0,4.24264068711928,2.83321334405622,4,3,"PS","5","2","1","1"
"Overlord II","2009","Action","Codemasters",0.03,79,8.1,"T",0,0,5.65685424949238,5.07517381523383,2,1,"PC","5","2","1","0"
"Start the Party! Save the World","2011","Misc","Sony Computer Entertainment",0.1,68.5,7,"Unknown",0,0.0198026272961797,4.12310562561766,2.63905732961526,6,3,"PS","6","3","0","1"
"Super Smash Bros.","1999","Fighting","Nintendo",5.55,72,7.7,"Unknown",1.08856195281461,0.0392207131532813,4.89897948556636,3.3322045101752,3,1,"DS","3","1","1","0"
"International Track & Field","1996","Sports","Konami Digital Entertainment",0.51,75,7.4,"Unknown",0.300104592450338,0.0295588022415444,4.24264068711928,2.83321334405622,3,3,"PS","3","1","1","1"
"Might & Magic Heroes VII","2015","Strategy","Ubisoft",0.09,74,7.9,"Unknown",0,0,4.89897948556636,3.59731226058845,4,1,"PC","6","3","0","0"
"Minna no DS Seminar: Kanpeki Kanji Ryoku","2006","Misc","TDK Core",0.16,68.5,7,"Unknown",0.148420005118273,0,4.12310562561766,2.63905732961526,7,2,"DS","5","2","0","0"
"Wordfish","2008","Puzzle","Ubisoft",0.08,70,7.5,"E",0,0.00995033085316809,3.74165738677394,2.484906649788,1,1,"DS","5","2","0","0"
"Ford Racing Off Road","2008","Racing","Xplosiv",0.14,47,7.4,"E",0,0.0198026272961797,2.44948974278318,2.89037175789616,4,1,"PS","5","2","0","1"
"Mortal Kombat: Deadly Alliance","2002","Fighting","Midway Games",0.41,81,8.7,"M",0,0.00995033085316809,4.47213595499958,3.78418963391826,4,2,"GC","4","2","1","0"
"Natalie Brooks: Mystery at Hillcrest High","2012","Action","Licensed 4U",0.02,68,7.4,"Unknown",0,0,4.69041575982343,3.29583686600433,6,2,"DS","6","3","1","0"
