"Name","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","User_Score","Rating","log_JP_Sales","log_Other_Sales","sqrt_Critic_Count","log_User_Count"
"Joust","2600","1982","Platform","Atari",1.08,69,7.7,"Unknown",0,0.00995033085316809,4.12310562561766,3.13549421592915
"Busou Shinki: Battle Masters Mk. 2","PSP","2011","Action","Konami Digital Entertainment",0.11,68,7.4,"Unknown",0.104360015324243,0,4.69041575982343,3.29583686600433
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","GC","2003","Action","THQ",0.11,68,7.4,"Unknown",0,0,4.69041575982343,3.29583686600433
"Pro Yaky? Spirits 2010","PS2","2010","Sports","Konami Digital Entertainment",0.1,75,7.4,"Unknown",0.0953101798043249,0,4.24264068711928,2.83321334405622
"Overlord II","PC","2009","Action","Codemasters",0.03,79,8.1,"T",0,0,5.65685424949238,5.07517381523383
"Start the Party! Save the World","PS3","2011","Misc","Sony Computer Entertainment",0.1,68.5,7,"Unknown",0,0.0198026272961797,4.12310562561766,2.63905732961526
"Super Smash Bros.","N64","1999","Fighting","Nintendo",5.55,72,7.7,"Unknown",1.08856195281461,0.0392207131532813,4.89897948556636,3.3322045101752
"International Track & Field","PS","1996","Sports","Konami Digital Entertainment",0.51,75,7.4,"Unknown",0.300104592450338,0.0295588022415444,4.24264068711928,2.83321334405622
"Might & Magic Heroes VII","PC","2015","Strategy","Ubisoft",0.09,74,7.9,"Unknown",0,0,4.89897948556636,3.59731226058845
"Minna no DS Seminar: Kanpeki Kanji Ryoku","DS","2006","Misc","TDK Core",0.16,68.5,7,"Unknown",0.148420005118273,0,4.12310562561766,2.63905732961526
"Wordfish","DS","2008","Puzzle","Ubisoft",0.08,70,7.5,"E",0,0.00995033085316809,3.74165738677394,2.484906649788
"Ford Racing Off Road","PSP","2008","Racing","Xplosiv",0.14,47,7.4,"E",0,0.0198026272961797,2.44948974278318,2.89037175789616
"Mortal Kombat: Deadly Alliance","GC","2002","Fighting","Midway Games",0.41,81,8.7,"M",0,0.00995033085316809,4.47213595499958,3.78418963391826
"Natalie Brooks: Mystery at Hillcrest High","DS","2012","Action","Licensed 4U",0.02,68,7.4,"Unknown",0,0,4.69041575982343,3.29583686600433
"Project X Zone","3DS","2012","Role-Playing","Namco Bandai Games",0.39,70,7.3,"T",0.139761942375159,0.0198026272961797,7.28010988928052,4.99043258677874
"Ar Nosurge: Ode to an Unborn Star","PSV","2014","Role-Playing","Tecmo Koei",0.04,74,7.9,"Unknown",0.0392207131532813,0,5.47722557505166,3.96081316959758
"Harry Potter: Quidditch World Cup","GC","2003","Sports","Electronic Arts",0.4,68,8.5,"E",0,0.00995033085316809,4,2.39789527279837
"Mobile Suit Gundam: One Year War","PS2","2005","Action","Namco Bandai Games",0.44,68,7.4,"Unknown",0.364643113587909,0,4.69041575982343,3.29583686600433
"Disney Infinity 2.0: Marvel Super Heroes","WiiU","2014","Action","Disney Interactive Studios",0.65,68,7.4,"Unknown",0,0.0582689081239758,4.69041575982343,3.29583686600433
"The 3rd Birthday","PSP","2010","Role-Playing","Square Enix",0.51,71,6.1,"M",0.2390169004705,0.048790164169432,7.48331477354788,4.7361984483945
"One Piece: Burning Blood","PS4","2016","Fighting","Namco Bandai Games",0.35,66,7.8,"T",0.0676586484738149,0.048790164169432,6.70820393249937,3.91202300542815
"LEGO Marvel Super Heroes","DS","2013","Action","Warner Bros. Interactive Entertainment",0.38,68,4.8,"E10+",0,0.0295588022415444,4.69041575982343,1.79175946922805
