"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"Joust","2600","1982","Platform","Atari",1.01,0.06,0,0.01,1.08,NA,NA,"",NA,"",""
"Busou Shinki: Battle Masters Mk. 2","PSP","2011","Action","Konami Digital Entertainment",0,0,0.11,0,0.11,NA,NA,"",NA,"",""
"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","GC","2003","Action","THQ",0.09,0.02,0,0,0.11,NA,NA,"",NA,"",""
"Pro Yaky? Spirits 2010","PS2","2010","Sports","Konami Digital Entertainment",0,0,0.1,0,0.1,NA,NA,"",NA,"",""
"Overlord II","PC","2009","Action","Codemasters",0,0.03,0,0,0.03,79,32,"8.1",159,"Triumph Studios","T"
"Start the Party! Save the World","PS3","2011","Misc","Sony Computer Entertainment",0,0.08,0,0.02,0.1,NA,NA,"",NA,"",""
"Super Smash Bros.","N64","1999","Fighting","Nintendo",2.95,0.6,1.97,0.04,5.55,NA,NA,"",NA,"",""
"International Track & Field","PS","1996","Sports","Konami Digital Entertainment",0.08,0.05,0.35,0.03,0.51,NA,NA,"",NA,"",""
"Might & Magic Heroes VII","PC","2015","Strategy","Ubisoft",0,0.08,0,0,0.09,NA,NA,"",NA,"",""
"Minna no DS Seminar: Kanpeki Kanji Ryoku","DS","2006","Misc","TDK Core",0,0,0.16,0,0.16,NA,NA,"",NA,"",""
"Wordfish","DS","2008","Puzzle","Ubisoft",0.07,0,0,0.01,0.08,NA,NA,"tbd",NA,"Ubisoft","E"
"Ford Racing Off Road","PSP","2008","Racing","Xplosiv",0.05,0.08,0,0.02,0.14,47,6,"tbd",NA,"Razorworks","E"
"Mortal Kombat: Deadly Alliance","GC","2002","Fighting","Midway Games",0.31,0.08,0,0.01,0.41,81,20,"8.7",43,"Midway","M"
"Natalie Brooks: Mystery at Hillcrest High","DS","2012","Action","Licensed 4U",0,0.02,0,0,0.02,NA,NA,"",NA,"",""
"Project X Zone","3DS","2012","Role-Playing","Namco Bandai Games",0.18,0.04,0.15,0.02,0.39,70,53,"7.3",146,"Monolith Soft, Banpresto","T"
"Ar Nosurge: Ode to an Unborn Star","PSV","2014","Role-Playing","Tecmo Koei",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Harry Potter: Quidditch World Cup","GC","2003","Sports","Electronic Arts",0.31,0.08,0,0.01,0.4,68,16,"8.5",10,"Electronic Arts","E"
"Mobile Suit Gundam: One Year War","PS2","2005","Action","Namco Bandai Games",0,0,0.44,0,0.44,NA,NA,"",NA,"",""
"Disney Infinity 2.0: Marvel Super Heroes","WiiU","2014","Action","Disney Interactive Studios",0.37,0.22,0,0.06,0.65,NA,NA,"",NA,"",""
"The 3rd Birthday","PSP","2010","Role-Playing","Square Enix",0.13,0.07,0.27,0.05,0.51,71,56,"6.1",113,"HexaDrive","M"
"One Piece: Burning Blood","PS4","2016","Fighting","Namco Bandai Games",0.11,0.13,0.07,0.05,0.35,66,45,"7.8",49,"Spike Chunsoft","T"
"LEGO Marvel Super Heroes","DS","2013","Action","Warner Bros. Interactive Entertainment",0.22,0.13,0,0.03,0.38,NA,NA,"4.8",5,"TT Games","E10+"
"UFC Personal Trainer: The Ultimate Fitness System","X360","2011","Sports","THQ",0.53,0.18,0,0.06,0.77,70,36,"6.5",15,"THQ","E"
"Madden NFL 08","X360","2007","Sports","Electronic Arts",2.18,0.01,0,0.18,2.37,85,46,"6.4",108,"EA Tiburon","E"
"Assassin's Creed: Unity","PC","2014","Action","Ubisoft",0.18,0.33,0,0.04,0.55,70,10,"3",1463,"Ubisoft, Ubisoft Montreal","M"
"World Championship Spelling","DS","2010","Misc","505 Games",0.04,0,0,0,0.04,NA,NA,"tbd",NA,"505 Games","E"
"Block Party","Wii","2008","Misc","Activision",0.14,0,0,0.01,0.15,NA,NA,"2.8",4,"Activision","E10+"
"Test Drive Unlimited","PC","2007","Racing","Atari",0,0.02,0,0,0.02,79,18,"8.1",124,"Eden Studios","T"
"Luxor: Pharaoh's Challenge","Wii","N/A","Puzzle","Funsta",0.01,0.02,0,0,0.04,NA,NA,"tbd",NA,"MumboJumbo","E"
"Syphon Filter 2","PS","2000","Shooter","Sony Computer Entertainment",1.5,0.55,0.02,0.08,2.15,NA,NA,"",NA,"",""
"South Park Rally","N64","2000","Racing","Acclaim Entertainment",0.16,0.04,0,0,0.2,NA,NA,"",NA,"",""
"Army Men World War: Final Front","PS","2001","Action","3DO",0.24,0.17,0,0.03,0.44,NA,NA,"",NA,"",""
"Petz: Catz 2","PS2","2006","Simulation","Ubisoft",0.18,0.14,0,0.05,0.37,NA,NA,"tbd",NA,"Ubisoft","E"
"Far Cry: Primal","PC","2016","Action","Ubisoft",0.04,0.11,0,0.01,0.16,74,18,"4.8",368,"Ubisoft Montreal","M"
"Adventures of Tron","2600","1981","Action","Mattel Interactive",0.63,0.03,0,0.01,0.67,NA,NA,"",NA,"",""
"NTRA Breeders' Cup World Thoroughbred Championships","XB","2005","Simulation","Bethesda Softworks",0.04,0.01,0,0,0.06,NA,NA,"",NA,"",""
"Disney TH!NK Fast: The Ultimate Trivia Showdown","Wii","2008","Misc","Disney Interactive Studios",0.37,0.16,0.01,0.06,0.6,NA,NA,"",NA,"",""
"ATV Offroad Fury Pro","PSP","2006","Racing","Sony Computer Entertainment",0.37,0.03,0,0.04,0.45,76,32,"tbd",NA,"Climax Group, Climax Studios","E"
"Wade Hixton's Counter Punch","GBA","2004","Sports","Destination Software, Inc",0.01,0,0,0,0.01,78,13,"9.5",4,"Inferno Games","T"
"Futurama","XB","2003","Platform","SCi",0.03,0.01,0,0,0.05,58,21,"6.9",14,"UDS","T"
"Blazing Angels 2: Secret Missions of WWII","X360","2007","Simulation","Ubisoft",0.11,0.02,0,0.01,0.14,72,24,"7.8",12,"Ubisoft Romania","T"
"Tokimeki Memorial: Taisen Pazurudama","PS","1996","Puzzle","Konami Digital Entertainment",0,0,0.09,0.01,0.1,NA,NA,"",NA,"",""
"Saban's Power Rangers: Lightspeed Rescue","N64","2000","Action","THQ",0.29,0.06,0,0,0.36,NA,NA,"",NA,"",""
"Martian Gothic: Unification","PS","2001","Adventure","Take-Two Interactive",0.06,0.04,0,0.01,0.11,64,4,"6.1",16,"Coyote Developments","M"
"Clock Tower 3","PS2","2002","Adventure","Capcom",0.1,0.08,0.12,0.03,0.33,69,28,"7.6",38,"SunSoft","M"
"LEGO Marvel Super Heroes","PC","2013","Action","Warner Bros. Interactive Entertainment",0.04,0.12,0,0.01,0.17,78,7,"8.1",124,"TT Games","E10+"
"Puzzle Chronicles","PSP","2010","Puzzle","Konami Digital Entertainment",0.07,0,0,0.01,0.08,62,19,"tbd",NA,"Konami","E10+"
"Mega Man X: Command Mission","PS2","2004","Role-Playing","Capcom",0.09,0.07,0,0.02,0.18,69,27,"7.1",18,"Valuewave Co.,Ltd.","E"
"SimCity 2000","SNES","1995","Simulation","THQ",0,0,0.49,0,0.49,NA,NA,"",NA,"",""
"Aggressive Inline","GC","2002","Sports","Acclaim Entertainment",0.04,0.01,0,0,0.06,88,16,"7.8",5,"Z-Axis, Ltd.","T"
"Knockout Kings","PS","1997","Fighting","Electronic Arts",1.07,0.39,0,0.06,1.52,NA,NA,"",NA,"",""
"Dragon Ball Z: Infinite World","PS2","2008","Fighting","Namco Bandai Games",0.08,0.06,0.21,0.02,0.36,48,17,"7.9",37,"Dimps Corporation","T"
"Galerians: Ash","PS2","2002","Adventure","Sammy Corporation",0.03,0.03,0,0.01,0.07,50,22,"7.9",11,"Polygon Magic","T"
"Far East of Eden II: Manji Maru","PS2","2003","Role-Playing","Hudson Soft",0,0,0.17,0,0.17,NA,NA,"",NA,"",""
"World Soccer Jikkyou Winning Eleven 3: World Cup France '98","PS","1998","Sports","Konami Digital Entertainment",0,0,0.75,0.05,0.81,NA,NA,"",NA,"",""
"Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales)","PS2","2008","Role-Playing","Atlus",0,0,0.17,0,0.17,NA,NA,"",NA,"",""
"SaGa 2: Hihou Densetsu - Goddess of Destiny","DS","2009","Role-Playing","Square Enix",0,0,0.17,0,0.17,NA,NA,"",NA,"",""
"Mega Man Battle Network 5: Double Team DS (US sales)","DS","2005","Role-Playing","Nintendo",0.06,0,0,0,0.06,NA,NA,"",NA,"",""
"F-14 Tomcat","GBA","2001","Action","Majesco Entertainment",0.5,0.19,0,0.01,0.7,67,8,"tbd",NA,"Virtucraft","E"
"Castlevania Bloodlines","GEN","1994","Platform","Konami Digital Entertainment",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Hallowed Legends: Samhain","PC","2011","Adventure","Focus Home Interactive",0,0.03,0,0.01,0.03,NA,NA,"",NA,"",""
"Pro Evolution Soccer 2010","PS3","2009","Sports","Konami Digital Entertainment",0.3,1.27,0.46,0.26,2.28,78,42,"6.7",76,"Konami","E"
"WWE Crush Hour","PS2","2003","Racing","THQ",0.17,0.13,0,0.04,0.35,56,13,"5.3",8,"Pacific Coast Power & Light","T"
"Tomb Raider","PS","1996","Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63,91,13,"8.6",147,"Core Design Ltd.","T"
"Major League Baseball 2K12","X360","2012","Sports","Take-Two Interactive",0.47,0,0,0.03,0.5,68,19,"6.4",22,"Visual Concepts","E"
"Kinnikuman Muscle Grand Prix Max 2: Tokumori","PS2","2008","Fighting","Namco Bandai Games",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Hell's Kitchen: The Game","DS","2008","Simulation","Ubisoft",0.34,0,0,0.03,0.37,NA,NA,"",NA,"",""
"Vehicular Combat League presents Motor Mayhem","PS2","2001","Racing","Atari",0.08,0.06,0,0.02,0.16,NA,NA,"",NA,"",""
"Kingdom Hearts 358/2 Days","DS","2009","Role-Playing","Square Enix",1.06,0.26,0.53,0.13,1.98,75,53,"7.8",162,"h.a.n.d. Inc.","E10+"
"Injustice: Gods Among Us","PSV","2013","Fighting","Warner Bros. Interactive Entertainment",0.09,0,0,0.03,0.13,NA,NA,"",NA,"",""
"Dragon Ball Z: Budokai Tenkaichi 3","Wii","2007","Fighting","Atari",0.32,0.36,0.26,0.09,1.02,72,27,"8.4",61,"Spike, Namco Bandai Games","T"
"Emily Archer and the Curse of Tutankhamun","DS","2011","Adventure","Mastertronic",0,0.02,0,0,0.03,NA,NA,"",NA,"Mastertronic","E10+"
"Spider-Man: The Movie","PS2","2002","Action","Activision",2.71,1.51,0.03,0.23,4.48,76,25,"7.9",41,"Treyarch","E"
